treatment_long,Treatment,Id,Group,Date,Time,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum
control,ambient,89,G,C,16:16:38,0.001475103,8.885265814,382.9786452,244.4698327,23.48473109,36.79043093,0.109859867,3.005735383,0.107676917,0.06749059,109.9797682,26.24648815,26.50035161,3.475462781,65.19722769,2.19831348,3.371789811,1.277149301,-65.05205242,-83.08371346,-5.920426596,-44.0764243
control,ambient,90,G,C,16:24:32,0.001351593,8.258483233,384.1873333,245.5415263,23.58955734,36.90947624,0.101828123,3.006712015,0.09995035,0.062634795,109.9794597,26.04875607,26.27175667,3.428901552,65.16449568,2.16760015,3.326351454,1.261301402,-59.60523477,-83.18754016,-5.912315475,-38.72563067
control,ambient,92,G,C,16:30:50,0.000914881,6.837755494,387.0344333,223.0414654,21.42649316,37.18048851,0.070206365,3.005383146,0.06930782,0.04339716,109.9796403,26.56247767,26.40396667,3.455763788,65.3196111,2.225174664,3.40659509,1.230589124,-40.34626934,-39.32160231,-2.803413401,27.50835524
control,ambient,96,G,C,16:34:50,0.001260295,7.564762635,385.5241667,247.7741781,23.80011179,37.03177761,0.0938748,3.005215341,0.092275636,0.057813682,109.9790738,26.81315874,26.71347667,3.519369355,64.65036599,2.246824135,3.47534635,1.27254522,-55.57901245,-34.621989,-2.476520566,17.30155174
control,ambient,88,G,C,16:40:51,0.000905206,5.567790666,389.3328065,234.8478429,22.56086534,37.40159972,0.061177719,3.005629823,0.060494264,0.037869685,109.979828,27.02672746,27.40148387,3.664430432,64.88263404,2.271357869,3.500717724,1.393072562,-39.91960445,-126.1085593,-9.05604206,-65.10437785
ambient,ambient,37,C,C,16:48:41,0.001320385,7.365228141,385.8251613,255.1913047,24.51342616,37.06198615,0.096852711,3.005929834,0.095151868,0.059620244,109.9796057,26.4891278,26.67560968,3.511533062,65.0039162,2.218315385,3.412587294,1.293217678,-58.228976,-78.5306187,-5.606244385,-32.38623335
ambient,ambient,35,C,C,16:52:52,0.001699492,7.90985417,384.5879032,276.3764928,26.54842498,36.94309523,0.127788229,3.005226258,0.124844457,0.078286624,109.9803574,26.29053437,26.5602,3.487743774,65.4170332,2.218948144,3.392003634,1.26879563,-74.94759219,-76.39607665,-5.449189041,-46.81250046
ambient,ambient,30,C,C,16:57:34,0.001376735,7.185435015,386.1260667,262.2310308,25.18866258,37.08942903,0.100117235,3.005663277,0.098300804,0.061598457,109.9788903,26.43417383,26.73301333,3.52341829,65.1610736,2.218340838,3.404395778,1.305077452,-60.71401471,-94.41499468,-6.741383494,-51.89150255
ambient,ambient,34,C,C,17:00:44,0.000984277,6.142468713,388.2555667,236.1013535,22.67806367,37.29281654,0.068558507,3.005464454,0.067701393,0.042389486,109.9792708,26.65900083,27.07031,3.593966428,65.3103046,2.239918046,3.429654876,1.354048382,-43.40663035,-128.7873216,-9.217557807,-71.43223899
ambient,ambient,31,C,C,17:04:14,0.001084713,6.400718815,387.7230323,248.7723521,23.89414329,37.24010973,0.078644601,3.005048158,0.077518823,0.048549069,109.9799889,26.32335791,26.63104839,3.502330949,65.28102608,2.198221995,3.367321451,1.304108954,-47.83582583,-107.8686887,-7.692504328,-53.41703
ambient,ambient,55,D,C,17:08:15,0.001599134,7.90461533,384.6775161,270.8048463,26.00902615,36.94574788,0.120689223,3.005095357,0.118059699,0.074018792,109.9799884,26.15171018,26.3777,3.450412385,65.12537006,2.187675687,3.359175824,1.262736699,-70.52182358,-73.45356132,-5.230430811,-39.22582733
ambient,ambient,51,D,C,17:14:05,0.000600614,4.238619474,391.9373667,237.102711,22.77209954,37.64291302,0.046085882,3.004947811,0.045696792,0.028595179,109.9789472,26.54498726,26.23283,3.421027317,64.82372739,2.195597472,3.387027498,1.225429845,-26.48709786,-27.3757641,-1.949397223,54.166688
ambient,ambient,46,D,C,17:19:29,0.001153698,5.332232619,389.5964333,289.2327391,27.77686471,37.41543039,0.092585036,3.004890974,0.091028956,0.057030726,109.9787836,26.72447787,26.29511667,3.433634497,65.2581051,2.252506039,3.451687779,1.181128458,-50.87806154,14.39313176,1.026904508,74.52075829
ambient,ambient,49,D,C,17:26:26,0.001072274,6.710894894,387.1747,245.0677247,23.53553986,37.18305051,0.080384182,3.00537655,0.079208579,0.049609553,109.9807509,26.13494355,26.26246,3.427019549,65.02171004,2.164783976,3.32932489,1.262235573,-47.28728725,-79.20202124,-5.631720298,-22.14027788
ambient,ambient,45,D,C,17:30:44,0.002180319,10.49537426,379.61,272.1693772,26.13830589,36.45657128,0.171394422,3.00606769,0.166144689,0.104298704,109.9795878,25.70410559,26.00496129,3.375249167,65.1885494,2.151217482,3.29999287,1.224031684,-96.15206548,-61.67076828,-4.375199235,-52.21844521
